Vg (V),Isd (A)
0.56,9.9929057e-05
0.57,9.9929057e-05
0.58,9.9918208e-05
0.59,9.9939905e-05
0.6,9.9939905e-05
0.61,9.9929057e-05
0.62,9.9939905e-05
0.63,9.9939905e-05
0.64,9.9939905e-05
0.65,9.9929057e-05
0.66,9.9950761e-05
0.67,9.9950761e-05
0.68,9.9950761e-05
0.69,9.996161e-05
0.7,9.9972458e-05
0.71,9.9972458e-05
0.72,9.996161e-05
0.73,9.9972458e-05
0.74,9.9972458e-05
0.75,9.9983299e-05
0.76,9.9983299e-05
0.77,9.9972458e-05
0.78,9.9972458e-05
0.79,9.9972458e-05
0.8,9.9994148e-05
0.81,9.9983299e-05
0.82,9.9983299e-05
0.83,9.9983299e-05
0.84,9.9983299e-05
0.85,0.000100015837
0.86,0.000100004989
0.87,0.000100015837
0.88,0.000100004989
0.89,0.000100015837
0.9,0.000100015837
0.91,0.000100015837
0.92,0.000100004989
0.93,0.000100015837
0.94,0.000100026686
0.95,0.000100026686
0.96,0.000100026686
0.97,0.000100026686
0.98,0.000100026686
0.99,0.000100037541
1.0,0.000100026686
0.99,0.000100037541
0.98,0.000100037541
0.97,0.000100026686
0.96,0.000100026686
0.95,0.000100026686
0.94,0.000100015837
0.93,0.000100026686
0.92,0.000100015837
0.91,0.000100004989
0.9,0.000100015837
0.89,9.9994148e-05
0.88,0.000100015837
0.87,9.9994148e-05
0.86,9.9994148e-05
0.85,0.000100004989
0.84,0.000100004989
0.83,9.9994148e-05
0.82,9.9983299e-05
0.81,9.9983299e-05
0.8,9.9983299e-05
0.79,9.996161e-05
0.78,9.996161e-05
0.77,9.9972458e-05
0.76,9.9950761e-05
0.75,9.9972458e-05
0.74,9.996161e-05
0.73,9.996161e-05
0.72,9.996161e-05
0.71,9.996161e-05
0.7,9.9950761e-05
0.69,9.9939905e-05
0.68,9.9950761e-05
0.67,9.9939905e-05
0.66,9.9918208e-05
0.65,9.9939905e-05
0.64,9.9929057e-05
0.63,9.9918208e-05
0.62,9.9929057e-05
0.61,9.9929057e-05
0.6,9.9929057e-05
0.59,9.990736e-05
0.58,9.990736e-05
0.57,9.990736e-05
0.56,9.990736e-05
0.55,9.990736e-05
0.54,9.990736e-05
0.53,9.990736e-05
0.52,9.9896519e-05
0.51,9.9896519e-05
0.5,9.9896519e-05
0.49,9.9896519e-05
0.48,9.9896519e-05
0.47,9.9885678e-05
0.46,9.9896519e-05
0.45,9.9885678e-05
0.44,9.9874829e-05
0.43,9.9863973e-05
0.42,9.9853125e-05
0.41,9.9863973e-05
0.4,9.9863973e-05
0.39,9.9863973e-05
0.38,9.9863973e-05
0.37,9.9853125e-05
0.36,9.9863973e-05
0.35,9.9842277e-05
